"","X","DAY","MONTH","YEAR","LATITUDE.x","LONGITUDE.x","Depth","Magnitude","Magnitude.Type","FLAG_TSUNAMI","INTENSITY","COUNTRY","LOCATION_NAME","DEATHS","INJURIES","DAMAGE_MILLIONS_DOLLARS","HOUSES_DESTROYED","HOUSES_DAMAGED","TOTAL_MISSING","PeopleAffected","PropertyDamanged"
"703",703,22,12,2003,35.7005,-121.1005,8.382,6.5,"MW",0,8,"USA","CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",2,40,300,40,4,62,104,44
"704",704,22,12,2003,35.7188333,-121.1571667,11.534,6.48,"MW",0,8,"USA","CALIFORNIA:  PASO ROBLES,TEMPLETON,ATASCADERO",2,40,300,40,6,15,57,46
"705",705,22,2,2002,32.3188333,-115.3215,7.007,5.7,"MW",0,8,"MEXICO","MEXICO:  MEXICALI, BAJA CALIFORNIA",4689,4,1.5,40,1390,700,5393,1430
"706",706,22,2,2002,32.32,-115.32,7,5.5,"MWC",0,10,"MEXICO","MEXICO:  MEXICALI, BAJA CALIFORNIA",1100,2,10.5,2120,31,70,1172,2151
"707",707,22,2,2004,-1.559,100.488,42,6,"MWB",0,8,"INDONESIA","INDONESIA:  SUMATRA:  PESISIR SELATAN",13,1,15,2,20000,1,15,20002
"708",708,22,2,2005,30.754,56.816,14,6.4,"MWC",0,9,"IRAN","IRAN:  KERMAN PROVINCE:  ZARAND",612,1411,0.1,8000,8000,28,2051,16000
"709",709,22,2,2006,-21.324,33.583,11,7,"MWB",0,7,"MOZAMBIQUE","MOZAMBIQUE",4,36,1,294,2500,17,57,2794
"710",710,22,3,1965,-31.974,-71.573,48.8,6.2,"MW",1,6,"CHILE","CHILE:  CENTRAL",166,2,5,4000,575,200,368,4575
"711",711,22,3,1966,37.545,115.061,20,6.8,"MW",0,10,"CHINA","CHINA:  HEBEI PROVINCE",14,25,600,200,20,138,177,220
"712",712,22,3,1978,44.026,149.002,33,6.7,"MS",1,4,"RUSSIA","RUSSIA:  KURIL ISLANDS",8200,36896,200,264878,269107,1,45097,533985
"713",713,22,3,1978,44.14,149.029,33,6.6,"MS",1,5,"RUSSIA","RUSSIA:  KURIL ISLANDS",2,4,130,71000,40,15,21,71040
"714",714,22,4,1974,31.649,119.171,33,5.5,"MS",0,7,"CHINA","CHINA:  JIANGSU PROVINCE",1,5,31,66800,20,5,11,66820
"715",715,22,4,1983,14.926,99.023,10,5.7,"MW",0,7,"THAILAND","THAILAND:  BANGKOK",6,350,5,650,62,9,365,712
"716",716,22,4,1991,9.685,-83.073,10,7.6,"MW",1,10,"COSTA RICA","COSTA RICA:  LIMON, PANDORA",87,22,510,300,150,1,110,450
"717",717,22,4,1997,11.112,-60.892,5,6.7,"MWB",0,8,"TRINIDAD AND TOBAGO","TOBAGO",10,2,25,3,86,1,13,89
"718",718,22,5,1998,-17.731,-65.431,24,6.6,"MWB",0,5,"BOLIVIA","BOLIVIA:  CENTRAL:  AIQUILE, TOTORA",105,150,2.5,1000,15700,17,272,16700
"719",719,22,5,2012,42.645,22.968,10,5.6,"MWW",0,7,"BULGARIA","BULGARIA: PERNIK",2,27,25,7000,90,138,167,7090
