"","DAY","MONTH","YEAR","LATITUDE","LONGITUDE","Date","Time","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"735","29","10","1989",36.788,2.448,"10/29/1989","19:09:13","Earthquake",5.7,NA,NA,6,"MW",NA,NA,NA,NA,NA,1.2,"USP00041EJ","US","US","NC","Reviewed",5216,"Tsu",19,9,12.9,6,5.7,NA,5.7,5.7,6.1,NA,NA,8,"ALGERIA","","ALGERIA:  ALGIERS, CHERCHELL, TIPAZA",15,30,1,NA,NA,245,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736","29","10","1989",39.571,143.333,"10/29/1989","5:25:38","Earthquake",9.6,NA,NA,6.9,"MW",NA,NA,NA,NA,NA,1,"USP00041DN","US","US","NC","Reviewed",6476,"Tsu",5,25,38.2,10,6.6,NA,6.6,6,NA,NA,NA,NA,"JAPAN","","JAPAN:  N. HONSHU ISLAND",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737","29","10","2008",30.598,67.455,"10/29/2008","11:32:43","Earthquake",14,NA,277,6.4,"MWC",NA,NA,26.7,NA,NA,1.43,"USP000GMA2","US","US","US","Reviewed",8206,"",11,32,43.1,14,6.4,6.4,6.6,6.2,NA,NA,NA,NA,"PAKISTAN","","PAKISTAN:  ZIARAT",60,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,2,NA,NA,NA,NA,1,1,NA,2,NA,2,NA,NA
"738","29","11","1978",16.01,-96.591,"11/29/1978","19:52:48","Earthquake",18,NA,NA,7.7,"MS",NA,NA,NA,NA,NA,NA,"USP0000XP7","US","US","US","Reviewed",4819,"Tsu",19,52,47.6,18,7.7,NA,7.7,6.4,NA,NA,NA,NA,"MEXICO","","MEXICO:  OAXACA",150,9,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,9,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA
"739","29","11","1998",-2.071,124.891,"11/29/1998","14:10:32","Earthquake",33,NA,NA,7.7,"MWC",NA,NA,NA,NA,NA,1.23,"USP0008YX2","US","US","HRV","Reviewed",5510,"Tsu",14,10,31.9,33,7.7,7.7,7.7,6.5,NA,NA,NA,7,"INDONESIA","","INDONESIA:  MANGOLE, MANADO, TALIABU",170,41,1,NA,NA,107,3,200,4,1000,3,NA,NA,41,1,NA,NA,107,3,200,4,1000,3,NA,NA
"740","29","11","2006",2.52,128.283,"11/29/2006","1:32:18","Earthquake",39,NA,264,6.2,"MWB",NA,NA,43.7,NA,NA,1.07,"USP000EZ3H","US","US","US","Reviewed",7414,"",1,32,17.9,39,6.2,6.2,5.9,5.9,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  HALMAHERA:  MOROTAI",170,NA,NA,NA,NA,NA,NA,NA,2,50,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,1,NA,NA
"741","29","11","2007",14.944,-61.274,"11/29/2007","19:00:20","Earthquake",156,NA,663,7.4,"MWB",NA,NA,13.4,NA,NA,0.74,"USP000FTJ1","US","US","US","Reviewed",7675,"Tsu",19,0,20.4,156,7.4,7.4,NA,6.9,NA,NA,NA,NA,"MARTINIQUE","","MARTINIQUE",90,1,1,NA,NA,102,3,NA,1,NA,NA,NA,NA,1,1,NA,NA,102,3,NA,1,NA,NA,NA,NA
"742","29","4","1984",43.26,12.558,"4/29/1984","5:03:00","Earthquake",11.9,1.8,NA,5.7,"MW",NA,NA,NA,NA,NA,1.3,"USP00023ZG","US","US","HRV","Reviewed",5035,"",5,3,NA,12,5.3,NA,5.3,5.2,NA,NA,NA,8,"ITALY","","ITALY:  CENTRAL:  :PERUGIA-ASSISSI-GUBBIO",130,3,1,NA,NA,200,3,25,4,NA,NA,NA,NA,3,1,NA,NA,200,3,25,4,NA,NA,NA,NA
"743","29","4","1991",42.453,43.673,"4/29/1991","9:12:48","Earthquake",17.2,NA,NA,7,"MW",NA,NA,NA,NA,NA,1.2,"USP0004QZA","US","US","HRV","Reviewed",5286,"",9,12,48.1,17,7,NA,7,6.2,NA,NA,NA,9,"GEORGIA","","GEORGIA:  DZHAVA, CHIATURA, AMBROLAURI",40,270,3,NA,NA,NA,NA,1700,4,NA,4,NA,NA,270,3,NA,NA,NA,NA,1700,4,NA,4,NA,NA
"744","29","4","1996",-6.518,154.999,"4/29/1996","14:40:41","Earthquake",44,NA,NA,7.2,"MWC",NA,NA,NA,NA,NA,1,"USP0007GQQ","US","US","HRV","Reviewed",5438,"",14,40,41,44,7.2,7.2,7.5,6.3,NA,NA,NA,NA,"SOLOMON ISLANDS","","SOLOMON ISLANDS:  BOUGAINVILLE ISLAND",170,1,1,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,3,NA,NA
"745","29","5","1976",24.531,98.71,"5/29/1976","14:00:19","Earthquake",10,NA,NA,7,"MS",NA,NA,NA,NA,NA,NA,"USP0000GM8","US","US","US","Reviewed",4726,"",14,0,18.5,10,7.4,NA,7.4,6,NA,NA,NA,9,"CHINA","","CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI",30,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"746","29","5","1976",24.57,98.953,"5/29/1976","12:23:19","Earthquake",8,NA,NA,6.9,"MS",NA,NA,NA,NA,NA,NA,"USP0000GM6","US","US","US","Reviewed",4725,"",12,23,18.7,8,7.3,NA,7.3,6.1,NA,NA,NA,9,"CHINA","","CHINA:  YUNNAN PROVINCE:  LUNGLING-LUSHI",30,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"747","29","5","2007",-1.065,127.343,"5/29/2007","9:36:06","Earthquake",24,NA,334,6.1,"MWC",NA,NA,40.2,NA,NA,1.12,"USP000FCZE","US","US","GCMT","Reviewed",7524,"",9,36,5.6,24,6.1,6.1,5.8,6,NA,NA,NA,NA,"INDONESIA","","INDONESIA: LABUHA",170,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA
"748","29","5","2009",-17.026,168.329,"5/29/2009","6:20:15","Earthquake",13,NA,145,5.7,"MWC",NA,NA,35.7,NA,NA,1.15,"USP000GXMZ","US","US","GCMT","Reviewed",8384,"",6,20,14.6,13,5.7,5.7,5.5,5.5,NA,NA,NA,NA,"VANUATU","","VANUATU ISLANDS:  TONGOA",170,NA,NA,NA,NA,10,1,NA,1,NA,2,NA,2,NA,NA,NA,NA,10,1,NA,1,NA,2,NA,NA
"749","29","5","2012",44.851,11.086,"5/29/2012","7:00:03","Earthquake",10.2,NA,678,5.8,"MWW",NA,NA,16.7,NA,NA,NA,"USP000JM2N","US","ROM","US","Reviewed",9901,"",7,0,3,10,5.9,5.9,5.8,5.9,NA,NA,NA,NA,"ITALY","","ITALY:  EMILIA ROMAGNA:  MEDOLLA, MIRANDOLA, CAVEZZO",130,17,1,NA,NA,350,3,15800,4,NA,NA,NA,NA,17,1,NA,NA,350,3,15800,4,NA,NA,NA,NA
"750","29","6","1980",34.808,139.181,"6/29/1980","7:20:05","Earthquake",15,NA,NA,6.2,"MS",NA,NA,NA,NA,NA,NA,"USP00018HZ","US","US","US","Reviewed",4880,"Tsu",7,20,5.5,15,6.2,NA,6.2,5.8,NA,NA,NA,8,"JAPAN","","JAPAN:  HONSHU:  S COAST",30,NA,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,2,NA,NA,NA,NA
"751","29","6","2012",43.433,84.7,"6/29/2012","21:07:34","Earthquake",18,NA,526,6.3,"MWW",NA,NA,21.5,NA,NA,0.94,"USP000JNCX","US","US","US","Reviewed",9924,"",21,7,33.8,18,6.3,6.3,6.4,6.2,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG PROVINCE",40,NA,NA,NA,NA,52,2,68,4,NA,NA,30000,4,NA,NA,NA,NA,52,2,68,4,NA,NA,30000,4
