"","DAY","MONTH","YEAR","LATITUDE","LONGITUDE","Date","Time","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","I_D","FLAG_TSUNAMI","HOUR","MINUTE","SECOND","FOCAL_DEPTH","EQ_PRIMARY","EQ_MAG_MW","EQ_MAG_MS","EQ_MAG_MB","EQ_MAG_ML","EQ_MAG_MFA","EQ_MAG_UNK","INTENSITY","COUNTRY","STATE","LOCATION_NAME","REGION_CODE","DEATHS","DEATHS_DESCRIPTION","MISSING","MISSING_DESCRIPTION","INJURIES","INJURIES_DESCRIPTION","DAMAGE_MILLIONS_DOLLARS","DAMAGE_DESCRIPTION","HOUSES_DESTROYED","HOUSES_DESTROYED_DESCRIPTION","HOUSES_DAMAGED","HOUSES_DAMAGED_DESCRIPTION","TOTAL_DEATHS","TOTAL_DEATHS_DESCRIPTION","TOTAL_MISSING","TOTAL_MISSING_DESCRIPTION","TOTAL_INJURIES","TOTAL_INJURIES_DESCRIPTION","TOTAL_DAMAGE_MILLIONS_DOLLARS","TOTAL_DAMAGE_DESCRIPTION","TOTAL_HOUSES_DESTROYED","TOTAL_HOUSES_DESTROYED_DESCRIPTION","TOTAL_HOUSES_DAMAGED","TOTAL_HOUSES_DAMAGED_DESCRIPTION"
"1","1","1","1980",38.815,-27.78,"1/1/1980","16:42:40","Earthquake",10,NA,NA,6.7,"MS",NA,NA,NA,NA,NA,NA,"USP00014TU","US","US","US","Reviewed",4868,"Tsu",16,42,40,10,6.7,NA,6.7,6,NA,NA,NA,8,"AZORES (PORTUGAL)","","AZORES:   TERCEIRA, ANGRA DO HEROISMO",130,69,2,NA,NA,600,3,5,2,NA,NA,NA,NA,69,2,NA,NA,600,3,5,2,NA,NA,NA,NA
"2","1","1","1996",0.729,119.931,"1/1/1996","8:05:11","Earthquake",24,NA,NA,7.9,"MW",NA,NA,NA,NA,NA,1.2,"USP00079ZV","US","US","HRV","Reviewed",5428,"Tsu",8,5,10.8,24,7.9,7.9,7.6,6.3,NA,NA,NA,6,"INDONESIA","","INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI",170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,1,NA,NA,63,2,1.2,2,400,3,NA,NA
"3","1","1","2001",6.898,126.579,"1/1/2001","6:57:04","Earthquake",33,NA,324,7.5,"MWC",NA,NA,NA,NA,NA,1.06,"USP000A70H","US","US","HRV","Reviewed",8952,"",6,57,4.1,33,7.5,7.5,7.2,6.4,NA,NA,NA,NA,"PHILIPPINES","","PHILIPPINES:  MINDANAO",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","1","2004",-8.31,115.788,"1/1/2004","20:59:32","Earthquake",44.5,5,119,5.8,"MWB",NA,NA,40,NA,NA,1.01,"USP000CGSS","US","US","US","Reviewed",5752,"",20,59,31.9,45,5.8,5.8,5.4,5.5,NA,NA,NA,6,"INDONESIA","","INDONESIA:  BALI, LOMBOK",170,1,1,NA,NA,29,1,NA,4,6000,4,NA,NA,1,1,NA,NA,29,1,NA,4,6000,4,NA,NA
"5","1","1","2004",17.488,-101.303,"1/1/2004","23:31:50","Earthquake",29.4,NA,361,6.1,"MWC",NA,NA,74.1,NA,NA,0.97,"USP000CGT8","US","US","HRV","Reviewed",5753,"",23,31,50,29,6.1,6.1,5.7,5.6,NA,NA,NA,NA,"MEXICO","","MEXICO:  GUERRERO, MEXICO CITY",150,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"6","1","1","2008",40.288,72.985,"1/1/2008","6:32:28","Earthquake",6,NA,489,5.6,"MWC",NA,NA,35.1,NA,NA,0.94,"USP000FVRZ","US","US","GCMT","Reviewed",7745,"",6,32,27.9,6,5.6,5.6,5.4,5.8,NA,NA,NA,NA,"KYRGYZSTAN","","KYRGYZSTAN:  OSH",40,NA,NA,NA,NA,NA,NA,NA,3,5385,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5385,4,NA,NA
"7","1","10","1995",38.063,30.134,"10/1/1995","15:57:16","Earthquake",33,NA,NA,6.4,"MW",NA,NA,NA,NA,NA,1.1,"USP000749B","US","US","HRV","Reviewed",5419,"",15,57,16.2,33,6.4,6.4,6.2,5.8,NA,NA,NA,8,"TURKEY","","TURKEY:   DINAR, EVCILER",140,95,2,NA,NA,348,3,205.8,4,5100,4,NA,NA,95,2,NA,NA,348,3,205.8,4,5100,4,NA,NA
"8","1","10","2003",50.211,87.721,"10/1/2003","1:03:25","Earthquake",10,NA,643,6.7,"MWB",NA,NA,24.5,NA,NA,0.88,"USP000C96T","US","US","US","Reviewed",5728,"",1,3,25.2,10,6.7,6.7,7.1,6.3,NA,NA,NA,NA,"RUSSIA","","RUSSIA:  KOSH-AGACH, BARNAUL, GORNO-ALTAYSK",40,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"9","1","10","2004",11.989,-86.52,"10/1/2004","8:01:01","Earthquake",87.3,NA,294,5.6,"MWC",NA,NA,43.2,NA,NA,1.16,"USP000D5G6","US","US","HRV","Reviewed",5825,"",8,1,1.3,87,5.6,5.6,NA,5.1,NA,NA,NA,NA,"NICARAGUA","","NICARAGUA:  CHINANDEGA, LEON",100,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"10","1","11","1975",13.843,144.754,"11/1/1975","1:17:34","Earthquake",113,NA,NA,6.1,"MB",NA,NA,NA,NA,NA,NA,"USP0000DCW","US","US","US","Reviewed",7202,"",1,17,33.9,113,6.1,NA,NA,6.1,NA,NA,NA,7,"USA TERRITORY","GU","GUAM",170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","11","1989",39.837,142.76,"11/1/1989","18:25:35","Earthquake",28.6,NA,NA,7.4,"MW",NA,NA,NA,NA,NA,1.1,"USP00041KG","US","US","HRV","Reviewed",5217,"Tsu",18,25,34.9,29,7.4,NA,7.4,6.4,NA,NA,NA,6,"JAPAN","","JAPAN:  HONSHU: N, AOMORI, MISAWA",30,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","11","1995",-28.906,-71.417,"11/1/1995","0:35:33","Earthquake",19.9,NA,NA,6.7,"MW",NA,NA,NA,NA,NA,1.1,"USP000762S","US","US","HRV","Reviewed",6606,"Tsu",0,35,32.7,20,6.7,6.7,6.4,6.3,NA,NA,NA,NA,"CHILE","","CHILE:  NEAR CENTRAL COAST",160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","11","2011",43.648,82.437,"11/1/2011","0:21:28","Earthquake",28,NA,512,5.6,"MWW",NA,NA,16.1,NA,NA,0.78,"USP000JA68","US","US","US","Reviewed",9849,"",0,21,28,28,5.6,5.6,5.4,6,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG PROVINCE",40,NA,NA,NA,NA,NA,NA,10.5,3,2453,4,NA,3,NA,NA,NA,NA,NA,NA,10.5,3,2453,2,NA,3
"14","1","12","2003",42.905,80.515,"12/1/2003","1:38:32","Earthquake",10,NA,502,6,"MWC",NA,NA,29.8,NA,NA,1.05,"USP000CE8K","US","US","HRV","Reviewed",5738,"",1,38,31.9,10,6,6,5.9,6,NA,NA,NA,NA,"CHINA","","CHINA:  XINJIANG:  ZHAOSU",40,11,1,NA,NA,47,1,NA,3,769,3,NA,NA,11,1,NA,NA,47,1,NA,3,769,3,NA,NA
"15","1","2","1984",34.616,70.484,"2/1/1984","14:22:08","Earthquake",33,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,1.2,"USP00021QK","US","US","HRV","Reviewed",5022,"",14,22,7.9,33,5.8,NA,5.8,5.9,NA,NA,NA,4,"AFGHANISTAN","","AFGHANISTAN:  KHOROG, JALALABAD; PAKISTAN",40,1,1,NA,NA,35,1,5,2,NA,NA,NA,NA,1,1,NA,NA,35,1,5,2,NA,NA,NA,NA
"16","1","2","1992",35.106,139.644,"2/1/1992","19:04:05","Earthquake",100,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,0.9,"USP00052GF","US","US","HRV","Reviewed",8252,"",19,4,4.5,100,5.6,NA,NA,5.6,NA,NA,NA,NA,"JAPAN","","JAPAN:  HONSHU:  TOKYO",30,NA,NA,NA,NA,37,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,37,1,NA,1,NA,NA,NA,NA
"17","1","3","1994",29.096,52.617,"3/1/1994","3:49:01","Earthquake",12.9,NA,NA,6.1,"MW",NA,NA,NA,NA,NA,1.1,"USP000693T","US","US","HRV","Reviewed",5381,"",3,49,0.8,13,6.1,6.1,6,5.8,NA,NA,NA,NA,"IRAN","","IRAN:  SOUTHERN:  FIRUZABAD",140,2,1,NA,NA,50,1,NA,1,NA,NA,NA,1,2,1,NA,NA,50,1,NA,1,NA,NA,NA,1
"18","1","3","1997",39.422,76.839,"3/1/1997","6:04:14","Earthquake",22.4,NA,NA,5.6,"MWC",NA,NA,NA,NA,NA,1.08,"USP0007Y20","US","US","HRV","Reviewed",5452,"",6,4,14.1,22,5.6,5.6,5.5,5.2,NA,NA,NA,NA,"CHINA","","CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI",40,2,1,NA,NA,6,1,NA,3,4000,3,NA,NA,2,1,NA,NA,6,1,NA,3,4000,4,NA,NA
"19","1","3","2004",37.136,22.116,"3/1/2004","0:35:58","Earthquake",9.4,3.7,522,5.6,"MWB",NA,NA,40.1,NA,NA,1.22,"USP000CNSJ","US","US","US","Reviewed",5766,"",0,35,58,9,5.2,5.2,4.8,5.4,5.1,NA,NA,NA,"GREECE","","GREECE:  SOUTHERN:  KALAMATA",130,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1
"20","1","4","2002",-29.67,-71.384,"4/1/2002","19:59:32","Earthquake",71,NA,434,6.4,"MWC",NA,NA,NA,NA,NA,0.87,"USP000B1HZ","US","US","HRV","Reviewed",5628,"",19,59,32.4,71,6.4,6.4,NA,6.1,NA,NA,NA,NA,"CHILE","","CHILE:  CENTRAL:  COQUIMBO, LA SERENA, OVALLE",160,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"21","1","4","2006",22.868,121.278,"4/1/2006","10:02:20","Earthquake",9,NA,429,6.1,"MWB",NA,NA,17.9,NA,NA,1.02,"USP000EDE6","US","US","US","Reviewed",7236,"",10,2,19.5,9,6.2,6.2,6.1,6,NA,NA,NA,NA,"TAIWAN","","TAIWAN:  T'AIT-TUNG",30,NA,NA,NA,NA,42,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,42,1,NA,1,NA,2,NA,NA
"22","1","4","2007",-8.466,157.043,"4/1/2007","20:39:59","Earthquake",24,NA,439,8.1,"MWC",NA,NA,14.7,NA,NA,1.32,"USP000F83M","US","US","GCMT","Reviewed",7457,"Tsu",20,39,56.3,24,8.1,8.1,7.9,6.8,NA,NA,NA,NA,"SOLOMON ISLANDS","","SOLOMON ISLANDS",170,54,2,NA,NA,NA,NA,NA,3,300,3,500,3,54,2,NA,NA,NA,NA,NA,3,2500,4,500,3
"23","1","5","1994",36.901,67.163,"5/1/1994","12:00:36","Earthquake",18.5,NA,NA,6.1,"MWB",NA,NA,NA,NA,NA,1.1,"USP0006BVU","US","US","US","Reviewed",5384,"",12,0,35.7,19,6.1,6.1,6.3,6,NA,NA,NA,6,"AFGHANISTAN","","AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ",40,160,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,3,NA,NA,NA,NA,NA,NA
"24","1","5","2003",39.007,40.464,"5/1/2003","0:27:05","Earthquake",10,NA,504,6.4,"MWB",NA,NA,30.9,NA,NA,1.09,"USP000BWBC","US","US","US","Reviewed",5692,"",0,27,4.7,10,6.4,6.4,6.4,5.7,NA,NA,NA,NA,"TURKEY","","TURKEY:  BINGOL",140,177,3,NA,NA,521,3,NA,3,718,3,718,3,177,3,NA,NA,521,3,NA,3,718,3,2593,4
"25","1","5","2013",33.061,75.863,"5/1/2013","6:57:13","Earthquake",15,NA,137,5.7,"MWW",NA,NA,25,NA,NA,1.11,"USB000GJHZ","US","US","US","Reviewed",9991,"",6,57,13.4,15,5.7,5.7,5.6,5.6,NA,NA,NA,NA,"INDIA","","INDIA:  KASHMIR:  DODA, KISHTWAR, RAMBAN",60,3,1,NA,NA,90,2,19.5,3,1136,4,95532,4,3,1,NA,NA,90,2,19.5,3,1136,4,95532,4
"26","1","6","2013",7.275,124.898,"6/1/2013","14:10:07","Earthquake",10,NA,82,5.6,"MWW",NA,NA,36.1,NA,NA,0.96,"USB000HBDE","US","US","US","Reviewed",10003,"",14,10,6.7,10,5.7,5.7,5.6,5.7,NA,NA,NA,NA,"PHILIPPINES","","PHILIPPINES:  N. COTABATO:  KIMADZIL, KIBUGTONGAN",170,NA,NA,NA,NA,33,1,NA,1,NA,NA,164,3,NA,NA,NA,NA,33,1,NA,1,NA,NA,164,3
"27","1","7","1979",8.316,-82.943,"7/1/1979","20:38:04","Earthquake",28,NA,NA,6.5,"MS",NA,NA,NA,NA,NA,NA,"USP00011NK","US","US","US","Reviewed",4838,"",20,38,4,28,6.5,NA,6.5,5.5,NA,NA,NA,NA,"PANAMA","","PANAMA-COSTA RICA:  PUERTO ARMUELLES",100,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
"28","1","7","2000",34.221,139.131,"7/1/2000","7:01:56","Earthquake",10,NA,355,6.1,"MWC",NA,NA,NA,NA,NA,1.04,"USP0009VHB","US","US","HRV","Reviewed",5568,"Tsu",7,1,55.5,10,6.1,6.1,6.1,6,NA,NA,NA,NA,"JAPAN","","JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA",30,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA
"29","1","8","1975",39.439,-121.528,"8/1/1975","20:20:13","Earthquake",15,NA,NA,5.8,"MW",NA,NA,NA,NA,NA,NA,"USP0000C95","US","B","1000","Reviewed",4696,"",20,20,12.9,15,5.6,NA,5.6,5.8,5.7,NA,NA,8,"USA","CA","CALIFORNIA:  OROVILLE",150,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,10,1,3,2,NA,NA,NA,NA
"30","1","8","1989",-4.511,139.022,"8/1/1989","0:18:05","Earthquake",14.3,NA,NA,6.3,"MW",NA,NA,NA,NA,NA,1.3,"USP0003XWT","US","US","NC","Reviewed",5207,"",0,18,4.8,14,5.8,NA,5.8,6,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  KURIMA DISTRICT, BALIEM RIVER",170,120,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1","8","1993",15.385,31.69,"8/1/1993","0:20:41","Earthquake",12.5,NA,NA,5.5,"MW",NA,NA,NA,NA,NA,1.1,"USP0005XRW","US","US","HRV","Reviewed",5359,"",0,20,40.5,13,5.5,5.5,5.1,5.2,NA,NA,NA,NA,"SUDAN","","SUDAN:  KHARTOUM",15,2,1,NA,NA,9,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,9,1,NA,1,NA,NA,NA,NA
"32","1","8","2007",-15.595,167.68,"8/1/2007","17:08:51","Earthquake",120,NA,494,7.2,"MWB",NA,NA,20.4,NA,NA,1.14,"USP000FHM9","US","US","US","Reviewed",7600,"",17,8,51.4,120,7.2,7.2,NA,6.2,NA,NA,NA,NA,"VANUATU","","VANUATU ISLANDS:  LUGANVILLE",170,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"33","1","9","1981",-14.96,-173.085,"9/1/1981","9:29:32","Earthquake",25,NA,NA,7.7,"MS",NA,13,NA,NA,NA,1.2,"USP0001FKX","US","US","US","Reviewed",4927,"Tsu",9,29,31.5,25,7.7,NA,7.7,7,NA,NA,NA,6,"SAMOA","","SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"34","10","1","1998",14.374,-91.473,"1/10/1998","8:20:06","Earthquake",33,NA,NA,6.6,"MWC",NA,NA,NA,NA,NA,0.93,"USP0008E1G","US","US","HRV","Reviewed",5483,"",8,20,5.7,33,6.6,6.6,6.2,6.1,NA,NA,NA,NA,"GUATEMALA","","GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA",100,NA,NA,NA,NA,27,1,NA,1,NA,2,NA,2,NA,NA,NA,NA,27,1,NA,1,NA,2,NA,1
"35","10","1","1998",41.083,114.5,"1/10/1998","3:50:42","Earthquake",30.3,2.8,NA,5.7,"MWC",NA,NA,NA,NA,NA,0.9,"USP0008E10","US","US","HRV","Reviewed",5481,"",3,50,41.5,30,5.7,5.7,5.7,5.8,NA,NA,NA,8,"CHINA","","CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI",30,70,2,NA,NA,11500,4,285.5,4,70000,4,NA,NA,70,2,NA,NA,11500,4,285.5,4,70000,4,NA,NA
"36","10","1","2002",-3.212,142.427,"1/10/2002","11:14:57","Earthquake",11,NA,333,6.7,"MWC",NA,NA,NA,NA,NA,1.18,"USP000AW5Z","US","US","HRV","Reviewed",5616,"",11,14,56.9,11,6.7,6.7,6.6,6,NA,NA,NA,NA,"PAPUA NEW GUINEA","","PAPUA NEW GUINEA:  AITAPE",170,1,1,NA,NA,NA,NA,NA,2,200,3,NA,NA,1,1,NA,NA,NA,NA,NA,2,200,3,NA,NA
"37","10","10","1977",-25.856,-175.406,"10/10/1977","11:53:54","Earthquake",33,NA,NA,7.2,"MS",NA,NA,NA,NA,NA,NA,"USP0000QZG","US","US","US","Reviewed",6453,"Tsu",11,53,53.6,33,7.2,NA,7.2,6.6,NA,NA,NA,NA,"TONGA","","TONGA TRENCH",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","10","10","1980",36.195,1.354,"10/10/1980","12:25:24","Earthquake",10,NA,NA,7.3,"MS",NA,NA,NA,NA,NA,NA,"USP0001A5W","US","US","US","Reviewed",4896,"Tsu",12,25,23.5,10,7.7,NA,7.7,6.5,NA,NA,NA,10,"ALGERIA","","ALGERIA:  NORTHERN",15,5000,4,NA,NA,9000,4,5200,4,25000,4,NA,NA,5000,4,NA,NA,9000,4,5200,4,250000,4,NA,NA
"39","10","10","1986",13.827,-89.118,"10/10/1986","17:49:24","Earthquake",7,NA,NA,5.7,"MW",NA,NA,NA,NA,NA,1.2,"USP0002YU9","US","US","HRV","Reviewed",5111,"",17,49,24.1,7,5.4,NA,5.4,5,NA,NA,NA,NA,"EL SALVADOR","","EL SALVADOR:  SAN SALVADOR",100,1100,4,NA,NA,10000,4,1500,4,NA,NA,NA,NA,1100,4,NA,NA,20000,4,1500,4,NA,NA,NA,NA
"40","10","10","2002",-1.757,134.297,"10/10/2002","10:50:21","Earthquake",10,NA,375,7.6,"MWC",NA,NA,NA,NA,NA,1.15,"USP000BE54","US","US","HRV","Reviewed",5656,"Tsu",10,50,20.5,10,7.6,7.6,7.7,6.5,NA,NA,NA,NA,"INDONESIA","","INDONESIA: NEW GUINEA: MANOKWARI, ORANSBARI, RANSIKI",170,8,1,NA,NA,632,3,NA,3,1000,3,900,3,8,1,NA,NA,632,3,NA,3,1000,3,900,3
"41","10","11","2008",37.565,95.833,"11/10/2008","1:22:03","Earthquake",19,NA,432,6.3,"MWC",NA,NA,17.4,NA,NA,0.86,"USP000GNBJ","US","US","US","Reviewed",8207,"",1,22,2.5,19,6.3,6.3,6.4,6.4,NA,NA,NA,NA,"CHINA","","CHINA:  QINGHAI PROVINCE",40,NA,NA,NA,NA,3,1,4,2,NA,2,NA,2,NA,NA,NA,NA,3,1,4,2,NA,2,NA,1
"42","10","12","2003",23.039,121.362,"12/10/2003","4:38:12","Earthquake",10,NA,447,6.8,"MWB",NA,NA,27.7,NA,NA,1.1,"USP000CEXG","US","US","US","Reviewed",5746,"",4,38,11.5,10,6.8,6.8,6.7,6,NA,NA,NA,NA,"TAIWAN","","TAIWAN:  T'AI-TUNG, KAO-HSIUN",30,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA
"43","10","2","1982",-6.863,106.936,"2/10/1982","16:17:52","Earthquake",39.8,7.4,NA,5.5,"MB",NA,6,NA,NA,NA,1.2,"USP0001JJP","US","US","US","Reviewed",4939,"",16,17,51.5,40,5.5,NA,NA,5.5,NA,NA,NA,NA,"INDONESIA","","INDONESIA:  JAVA, SUKABUMI",170,NA,NA,NA,NA,17,1,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,17,1,3.5,2,NA,NA,NA,NA
"44","10","3","1981",39.481,20.699,"3/10/1981","15:16:20","Earthquake",31.1,3.1,NA,5.6,"MB",NA,32,NA,NA,NA,1.2,"USP0001CMT","US","US","US","Reviewed",4917,"",15,16,19.8,31,5.6,NA,NA,5.6,NA,NA,NA,8,"GREECE","","GREECE:  PREVEZA",130,2,1,NA,NA,NA,NA,NA,2,150,0,NA,NA,2,1,NA,NA,NA,NA,NA,2,150,3,NA,NA
"45","10","3","1989",-13.702,34.42,"3/10/1989","21:49:46","Earthquake",30.3,NA,NA,6.2,"MB",NA,55,NA,NA,NA,0.9,"USP0003STY","US","US","US","Reviewed",5191,"",21,49,45.8,30,6.1,NA,6.1,6.2,NA,NA,NA,NA,"MALAWI","","MALAWI:  SALIMA, DEDZA, MOHINJI",10,9,1,NA,NA,100,2,28,4,NA,NA,NA,NA,9,1,NA,NA,100,2,28,4,NA,NA,NA,NA
"46","10","3","1989",-4.346,152.797,"3/10/1989","14:14:10","Earthquake",53.3,3.3,NA,5.8,"MW",NA,NA,NA,NA,NA,0.9,"USP0003STK","US","US","HRV","Reviewed",5190,"",14,14,10.2,53,5.4,NA,5.4,5.6,NA,NA,NA,5,"PAPUA NEW GUINEA","","PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL",170,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","10","4","1998",32.457,59.976,"4/10/1998","15:00:53","Earthquake",33,NA,NA,5.8,"MWC",NA,NA,NA,NA,NA,1.49,"USP0008JU7","US","US","HRV","Reviewed",5491,"",15,0,53.1,33,5.8,5.8,5.7,5.3,NA,NA,NA,NA,"IRAN","","IRAN:  BIRJAND, GONABAD",140,12,1,NA,NA,10,1,NA,2,NA,NA,600,3,12,1,NA,NA,10,1,NA,2,NA,NA,600,3
"48","10","4","2003",38.221,26.958,"4/10/2003","0:40:15","Earthquake",10,NA,471,5.8,"MWB",NA,NA,15.1,NA,NA,1.12,"USP000BUU9","US","US","US","Reviewed",5690,"",0,40,15.1,10,5.7,5.7,5.6,5.6,NA,NA,NA,NA,"TURKEY","","TURKEY:  IZMIR, SEFERIHISAR",140,NA,NA,NA,NA,90,2,NA,2,NA,2,NA,2,NA,NA,NA,NA,90,2,NA,2,NA,2,NA,2
"49","10","4","2005",-1.644,99.607,"4/10/2005","10:29:11","Earthquake",19,NA,656,6.7,"MWC",NA,NA,21.2,NA,NA,1.02,"USP000DMTX","US","US","HRV","Reviewed",6659,"Tsu",10,29,11.2,19,6.7,6.7,6.7,6.4,NA,NA,NA,5,"INDONESIA","","INDONESIA:  PADANG",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","10","5","1985",-5.599,151.045,"5/10/1985","15:35:51","Earthquake",26.7,3.3,NA,7.2,"MW",NA,NA,NA,NA,NA,1.3,"USP0002EN1","US","US","HRV","Reviewed",5068,"",15,35,50.5,27,7.1,NA,7.1,6.3,NA,NA,NA,8,"PAPUA NEW GUINEA","","PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",170,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"51","10","5","1997",33.825,59.809,"5/10/1997","7:57:30","Earthquake",10,NA,NA,7.3,"MWB",NA,NA,NA,NA,NA,1.12,"USP000820P","US","US","US","Reviewed",5461,"",7,57,29.7,10,7.2,7.2,7.3,6.4,NA,NA,NA,10,"IRAN","","IRAN:  BIRJAND, GHAEN",140,1728,4,NA,NA,2300,4,100,4,10533,4,10533,4,1728,4,NA,NA,2300,4,100,4,10533,4,NA,NA
"52","10","6","1975",43.024,147.734,"6/10/1975","13:47:15","Earthquake",15,NA,NA,7,"MS",NA,NA,NA,NA,NA,NA,"USP0000BDP","US","US","US","Reviewed",6449,"Tsu",13,47,14.5,15,7,NA,7,5.8,NA,NA,NA,NA,"RUSSIA","","RUSSIA:  KURIL-JAPAN:  HOKKAIDO",50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","10","6","1996",51.478,-176.847,"6/10/1996","15:24:56","Earthquake",26.3,NA,NA,7.3,"MWC",NA,NA,NA,NA,NA,1,"USP0007JFZ","US","US","HRV","Reviewed",6498,"Tsu",15,24,56,24,7.3,7.3,7.1,5.9,NA,NA,NA,NA,"USA","AK","ALASKA:  ANDREANOF ISLANDS",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","10","6","1996",51.564,-177.632,"6/10/1996","4:03:35","Earthquake",33,NA,NA,7.9,"MWC",NA,NA,NA,NA,NA,0.9,"USP0007JCU","US","US","HRV","Reviewed",5440,"Tsu",4,3,35.4,33,7.9,7.9,7.6,6.6,NA,NA,NA,6,"USA","AK","ALASKA:  ANDREANOF ISLANDS",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","10","6","2000",23.843,121.225,"6/10/2000","18:23:29","Earthquake",33,NA,377,6.4,"MWC",NA,NA,NA,NA,NA,1.03,"USP0009UCQ","US","US","HRV","Reviewed",5564,"",18,23,29.3,33,6.4,6.4,6.2,6.2,NA,NA,NA,NA,"TAIWAN","","TAIWAN:  NAN-TOU",30,2,1,NA,NA,36,1,NA,1,NA,NA,NA,NA,2,1,NA,NA,36,1,NA,1,NA,NA,NA,NA
